Symptom,Specialty
I feel chest tightness,Cardiology
I have acne,Dermatology
I have dizziness and headache,Neurology
I have migraine headaches,Neurology
I feel body aches and fever,General Medicine
I have itchy skin,Dermatology
My ears are sore,ENT
My knees are hurting,Orthopedics
I have a high fever,Infectious Diseases
I have phlegm and cough,Pulmonology
I have missed my period,Gynecologist
I feel body aches and fever,General Medicine
I have sore throat,ENT
I have chest pain,Cardiology
I feel anxious,Psychiatry
I have phlegm-filled cough,Pulmonology
I have night-time breathing problems,Pulmonology
I feel chest discomfort,Cardiology
My back hurts,Physiotherapy
I am losing weight,Endocrinology
I have cough and sore throat,ENT
My eyes are irritated,Ophthalmology
I have knee pain,Orthopedics
I have irregular periods,Gynecologist
I feel itchy skin,Dermatology
My ears hurt,ENT
I have chest pain,Cardiology
I have nausea,Gastroenterology
I feel migraine pain,Neurology
I feel joint pain,Orthopedics
I am experiencing high fever,Infectious Diseases
I feel anxious,Psychiatry
I have burning urination,Urology
I have vomiting,Gastroenterology
I have severe headaches,Neurology
I have sore throat,General Medicine
I feel fatigue and body aches,General Medicine
My weight is dropping,Endocrinology
I have burning urination,Urology
My eyes are in pain,Ophthalmology
I feel weak and tired,Endocrinology
My ears are sore,ENT
I have fever and body pain,General Medicine
My eyes are itchy,Ophthalmology
I have missed periods,Gynecologist
I feel weak and tired,Endocrinology
I have cough and sore throat,ENT
I have dry cough,Pulmonology
I feel chills and fever,Infectious Diseases
I have itchy skin,Dermatology
I feel anxious and restless,Psychiatry
My heart races,Cardiology
I have chest discomfort,Cardiology
I have shortness of breath,Pulmonology
My stomach hurts,Gastroenterology
I have palpitations during exercise,Cardiology
I feel chest heaviness,Cardiology
I get dizzy when standing up quickly,Cardiology
I experience swelling around my eyes,Urology
I have foamy urine,Urology
I have frequent urination at night,Urology
I feel shortness of breath on exertion,Pulmonology
I experience persistent wheezing,Pulmonology
I cough up yellow or green mucus,Pulmonology
I have sharp pain in my right upper abdomen,Gastroenterology
I feel nausea after meals,Gastroenterology
I have yellowing of skin and eyes,Gastroenterology
I bruise easily,Hematology
I experience prolonged bleeding from minor cuts,Hematology
I feel fatigued and weak,Hematology
I have sudden hair loss,Dermatology
I notice red,Dermatology
I have dry and flaky skin,Dermatology
I feel numbness or tingling in hands and feet,Neurology
I have sudden severe headache,Neurology
I experience memory lapses,Neurology
I feel sudden confusion or disorientation,Neurology
I have persistent anxiety or panic attacks,Psychiatry
I feel depressed or hopeless,Psychiatry
I experience mood swings,Psychiatry
I have difficulty sleeping,Psychiatry
I feel persistent fatigue,Endocrinology
I notice unexplained weight loss,Endocrinology
I notice unexplained weight gain,Endocrinology
I feel excessive thirst,Endocrinology
I experience frequent urination,Endocrinology
I feel rapid heart rate or palpitations,Cardiology
I experience chest tightness,Cardiology
I feel breathless when lying down,Cardiology
I have elevated blood pressure readings,Cardiology
I have night sweats with fever,Infectious Diseases
I feel body aches and chills,Infectious Diseases
I have persistent cough with fever,Infectious Diseases
I experience vomiting and dehydration,Infectious Diseases
I have abdominal bloating and discomfort,Gastroenterology
I feel burning in the stomach after meals,Gastroenterology
I experience diarrhea frequently,Gastroenterology
I have constipation problems,Gastroenterology
I feel sudden severe back pain,Physiotherapy
I have stiffness in neck and shoulders,Physiotherapy
I have joint pain and swelling,Orthopedics
I have muscle cramps and spasms,Physiotherapy
I notice redness and swelling in joints,Orthopedics
I have pain in knees,Orthopedics
I have blurred vision,Ophthalmology
I experience eye pain and irritation,Ophthalmology
I have redness and watering in eyes,Ophthalmology
I experience hearing loss or ringing in ears,ENT
I have nasal congestion and sinus pain,ENT
I have sore throat and difficulty swallowing,ENT
I have persistent hoarseness,ENT
I have frequent headaches with nausea,Neurology
I feel tingling in arms and legs,Neurology
I have confusion or sudden memory loss,Neurology
I feel pressure in the chest with shortness of breath,Cardiology
I feel tightness in my chest,Cardiology
I have palpitations and dizziness,Cardiology
I have swelling in my legs,Cardiology
I feel faint and dizzy,Neurology
I have sudden severe headache,Neurology
I experience confusion and memory loss,Neurology
I feel breathless while walking,Pulmonology
I have persistent wheezing,Pulmonology
I cough up blood,Pulmonology
I have yellowing of my skin,Gastroenterology
My urine is dark in color,Gastroenterology
I have swelling in my abdomen,Gastroenterology
I notice unusual bruising,Hematology
I have frequent nosebleeds,Hematology
I feel weak and fatigued,Hematology
I have severe itching on my skin,Dermatology
I have red patches on my skin,Dermatology
I have sudden weight gain due to fluid retention,Cardiology
I feel high blood pressure symptoms like headache,Cardiology
I feel palpitations when stressed,Cardiology
I have persistent nausea,Gastroenterology
I have vomiting blood,Gastroenterology
I notice black or tarry stools,Gastroenterology
I experience tremors or shaking,Neurology
I have trouble balancing,Neurology
I feel tingling in my hands and feet,Neurology
I have persistent cough with mucus,Pulmonology
I experience chest congestion,Pulmonology
I have difficulty breathing at night,Pulmonology
I feel bloated and gassy,Gastroenterology
I have burning sensation in my stomach,Gastroenterology
I feel pain in my upper right abdomen,Gastroenterology
I notice swelling in my face and hands,Urology
I have dark or foamy urine,Urology
I experience frequent urination at night,Urology
I feel sudden pain in my lower back,Urology
I experience dizziness with high blood pressure,Cardiology
I feel rapid heartbeat when standing up,Cardiology
I have persistent fatigue and weakness,Endocrinology
I feel excessive thirst and urination,Endocrinology
I notice unexplained weight changes,Endocrinology
I have tremors and heat intolerance,Endocrinology
I feel persistent anxiety and panic,Psychiatry
I have depressive mood swings,Psychiatry
I experience insomnia,Psychiatry
I feel confused and disoriented,Neurology
I notice jaundice in eyes and skin,Gastroenterology
I have swelling in my legs and feet,Urology
I experience sudden severe abdominal pain,Gastroenterology
I have heartburn and acid reflux,Gastroenterology
I have itchy and scaly skin patches,Dermatology
I feel sudden chest pressure,Cardiology
I have shortness of breath while lying down,Cardiology
I have abnormal bruising or bleeding,Hematology
I feel numbness in my arms or legs,Neurology
I have irregular heartbeat,Cardiology
I feel persistent fatigue with weakness,Endocrinology
